# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768584490.24847,-4.25890,2.72577,-4.37888,2.51177,0.10386
1768584490.34818,-4.34101,2.49563,-4.42623,2.42370,0.06690
1768584490.44769,-4.40006,2.48527,-4.47182,2.33469,0.03556
1768584490.54785,-4.46018,2.41309,-4.51562,2.24480,0.09523
1768584490.64838,-4.48162,2.42942,-4.55761,2.15404,0.02802
1768584490.75896,-4.54357,2.24675,-4.59777,2.06246,0.09941
1768584490.84848,-4.53693,2.14108,-4.63610,1.97010,0.03598
1768584490.94929,-4.60807,1.99266,-4.67257,1.87699,0.09127
1768584491.04987,-4.63915,1.96192,-4.70718,1.78317,0.04735
1768584491.15060,-4.69493,1.83526,-4.73989,1.68868,0.03051
1768584491.24906,-4.72789,1.80557,-4.77072,1.59355,0.07964
1768584491.34841,-4.67218,1.73060,-4.79963,1.49782,0.09928
1768584491.44916,-4.70832,1.67077,-4.82663,1.40154,0.13566
1768584491.55040,-4.72904,1.61367,-4.85169,1.30473,0.04768
1768584491.64832,-4.85158,1.36091,-4.87481,1.20744,0.06420
1768584491.75054,-4.81667,1.25092,-4.89599,1.10971,0.07523
1768584491.84841,-4.90352,1.18456,-4.91520,1.01157,0.09224
1768584491.95822,-4.85994,1.08543,-4.93245,0.91307,0.20139
1768584492.05065,-4.86964,1.10442,-4.94772,0.81425,0.07721
1768584492.15177,-4.92325,0.98973,-4.96102,0.71514,0.02931
1768584492.25266,-4.97701,0.81296,-4.97233,0.61578,0.23013
1768584492.34765,-4.89211,0.83148,-4.98165,0.51622,0.16231
1768584492.45058,-4.88318,0.75143,-4.98897,0.41649,0.13685
1768584492.54839,-4.85506,0.56822,-4.99430,0.31663,0.05056
1768584492.64886,-4.94594,0.44303,-4.99764,0.21669,0.03812
1768584492.75647,-4.98879,0.35435,-4.99897,0.11670,0.14737
1768584492.85017,-5.08641,0.23532,-4.99831,0.01671,0.03927
1768584492.94997,-4.97914,0.15060,-4.99564,-0.08326,0.14049
1768584493.05159,-4.94918,0.04932,-4.99098,-0.18315,0.16033
1768584493.15066,-4.94051,-0.03096,-4.98432,-0.28292,0.03047
1768584493.25149,-4.96839,-0.20360,-4.97566,-0.38255,0.04877
1768584493.34845,-5.03147,-0.27049,-4.96502,-0.48198,0.05132
1768584493.45056,-4.96114,-0.33333,-4.95238,-0.58117,0.07536
1768584493.54859,-4.91106,-0.42936,-4.93777,-0.68010,0.05860
1768584493.64780,-4.89908,-0.55684,-4.92118,-0.77871,0.02341
1768584493.74833,-4.91579,-0.68815,-4.90262,-0.87697,0.07432
1768584493.84970,-4.89382,-0.70961,-4.88211,-0.97484,0.04137
1768584493.95216,-4.94185,-0.86382,-4.85963,-1.07228,0.16122
1768584494.04883,-4.86056,-0.91107,-4.83522,-1.16926,0.07728
1768584494.14734,-4.80409,-1.12602,-4.80887,-1.26572,0.04871
1768584494.25058,-4.81586,-1.12456,-4.78059,-1.36164,0.03981
1768584494.34800,-4.76939,-1.27085,-4.75041,-1.45697,0.06895
1768584494.45433,-4.71213,-1.35343,-4.71832,-1.55168,0.13784
1768584494.55028,-4.72215,-1.41390,-4.68434,-1.64573,0.07022
1768584494.64958,-4.66051,-1.57968,-4.64849,-1.73908,0.14412
1768584494.74851,-4.56677,-1.72908,-4.61079,-1.83170,0.03632
1768584494.85195,-4.62071,-1.71569,-4.57123,-1.92354,0.08578
1768584494.95278,-4.63752,-1.75019,-4.52985,-2.01458,0.11950
1768584495.04808,-4.57868,-1.90551,-4.48666,-2.10476,0.06368
