# num_particles=5000
time,x_est,y_est,x_gt,y_gt,rmse
1768520779.79042,-2.96523,4.04821,-3.17116,3.96489,0.10230
1768520779.89120,-3.23322,3.88355,-3.24782,3.90067,0.10098
1768520779.99155,-3.16321,3.95580,-3.32318,3.83494,0.10408
1768520780.09397,-3.23074,3.88277,-3.39721,3.76772,0.05333
1768520780.19978,-3.36615,3.81107,-3.46988,3.69902,0.02779
1768520780.29126,-3.38227,3.79115,-3.54116,3.62889,0.04108
1768520780.38992,-3.52118,3.66479,-3.61102,3.55735,0.11052
1768520780.48833,-3.52947,3.63193,-3.67944,3.48442,0.18097
1768520780.59068,-3.55922,3.61968,-3.74639,3.41014,0.07919
1768520780.70595,-3.69942,3.47389,-3.81184,3.33453,0.02423
1768520780.78939,-3.72302,3.41650,-3.87576,3.25763,0.04672
1768520780.89040,-3.85232,3.31119,-3.93814,3.17947,0.18762
1768520780.98972,-3.82764,3.33110,-3.99894,3.10008,0.13245
1768520781.08862,-3.92060,3.20687,-4.05813,3.01949,0.07437
1768520781.18898,-3.94844,3.15468,-4.11571,2.93772,0.21654
1768520781.29089,-3.97067,3.09852,-4.17164,2.85483,0.01625
1768520781.39008,-4.10043,2.93219,-4.22589,2.77083,0.12436
1768520781.48876,-4.14874,2.86837,-4.27846,2.68576,0.13542
1768520781.58923,-4.21989,2.80786,-4.32932,2.59966,0.04667
1768520781.69278,-4.24002,2.71223,-4.37844,2.51256,0.18356
1768520781.78914,-4.26873,2.65973,-4.42581,2.42450,0.29391
1768520781.88990,-4.29130,2.68582,-4.47142,2.33550,0.27658
1768520782.00295,-4.33360,2.57530,-4.51523,2.24561,0.32096
1768520782.08896,-4.35932,2.52616,-4.55723,2.15486,0.06222
1768520782.18911,-4.47852,2.29584,-4.59742,2.06330,0.11736
1768520782.29362,-4.54534,2.16847,-4.63576,1.97094,0.07500
1768520782.38975,-4.56773,2.13217,-4.67225,1.87784,0.04109
1768520782.48969,-4.60290,1.94626,-4.70687,1.78402,0.03280
1768520782.58534,-4.64648,1.89813,-4.73961,1.68953,0.10494
1768520782.69890,-4.66325,1.87946,-4.77045,1.59441,0.03044
1768520782.79874,-4.76979,1.68564,-4.79938,1.49869,0.05644
1768520782.88889,-4.75217,1.64781,-4.82639,1.40241,0.14313
1768520782.98915,-4.77448,1.53579,-4.85147,1.30561,0.04560
1768520783.09107,-4.83242,1.35721,-4.87461,1.20832,0.11717
1768520783.18832,-4.82331,1.31367,-4.89580,1.11060,0.04139
1768520783.29121,-4.84005,1.23109,-4.91503,1.01246,0.04156
1768520783.38868,-4.90564,1.05295,-4.93230,0.91397,0.16683
1768520783.48794,-4.91624,0.84564,-4.94759,0.81514,0.00520
1768520783.58898,-4.94258,0.81654,-4.96090,0.71604,0.02894
1768520783.68696,-4.96279,0.79052,-4.97223,0.61668,0.07225
1768520783.79922,-4.93675,0.78413,-4.98157,0.51712,0.15918
1768520783.89413,-4.94173,0.77291,-4.98892,0.41739,0.00963
1768520783.99096,-4.98985,0.51221,-4.99427,0.31754,0.13929
1768520784.10064,-5.01846,0.45471,-4.99762,0.21759,0.09606
1768520784.20405,-5.02542,0.30954,-4.99897,0.11761,0.01981
1768520784.30718,-5.00604,0.23552,-4.99832,0.01761,0.03501
1768520784.39883,-5.02785,0.13740,-4.99567,-0.08235,0.08962
1768520784.48395,-5.01235,-0.07090,-4.99103,-0.18224,0.01350
1768520784.58827,-5.00917,-0.08211,-4.98439,-0.28202,0.02494
1768520784.72297,-5.01507,-0.17563,-4.97575,-0.38165,0.03681
1768520784.78498,-4.96444,-0.34662,-4.96512,-0.48108,0.10488
1768520784.89435,-4.97117,-0.37638,-4.95251,-0.58028,0.12692
1768520785.44955,-4.99085,-0.45929,-4.93791,-0.67921,0.08569
1768520785.49553,-4.94950,-0.76411,-4.92134,-0.77782,0.18791
1768520785.66191,-4.96089,-0.86571,-4.90280,-0.87609,0.07951
1768520785.70953,-4.93628,-0.80396,-4.88230,-0.97396,0.06906
1768520785.81456,-4.89023,-0.90535,-4.85985,-1.07140,0.15783
1768520785.95347,-4.89495,-0.91752,-4.83545,-1.16838,0.01341
1768520785.99481,-4.85121,-1.08166,-4.80911,-1.26485,0.07705
1768520786.10782,-4.81276,-1.24202,-4.78086,-1.36077,0.08351
1768520786.25603,-4.80115,-1.27977,-4.75069,-1.45611,0.07877
1768520786.29545,-4.78722,-1.38633,-4.71862,-1.55083,0.04003
1768520786.44193,-4.75508,-1.49590,-4.68466,-1.64488,0.14149
1768520786.49242,-4.72728,-1.50997,-4.64883,-1.73824,0.07097
1768520786.62757,-4.69284,-1.57439,-4.61114,-1.83086,0.18430
1768520786.69003,-4.66684,-1.65518,-4.57160,-1.92271,0.10376
1768520786.80177,-4.52875,-1.89394,-4.53023,-2.01376,0.11595
1768520786.91241,-4.54037,-1.89825,-4.48705,-2.10395,0.12190
1768520787.00570,-4.50661,-1.98363,-4.44208,-2.19327,0.03787
1768520787.09314,-4.43328,-2.15643,-4.39533,-2.28166,0.03348
1768520787.19732,-4.38517,-2.24976,-4.34682,-2.36911,0.04491
1768520787.28835,-4.30513,-2.38578,-4.29657,-2.45556,0.05573
1768520787.38703,-4.24694,-2.48092,-4.24460,-2.54100,0.05082
1768520787.49926,-4.24253,-2.49022,-4.19094,-2.62538,0.00257
1768520787.60973,-4.19351,-2.62529,-4.13560,-2.70867,0.08569
1768520787.69514,-4.17972,-2.63521,-4.07860,-2.79083,0.03970
1768520787.80302,-4.11338,-2.74157,-4.01997,-2.87184,0.14332
1768520787.90264,-4.12441,-2.77368,-3.95974,-2.95166,0.12449
1768520787.98808,-4.01542,-2.84032,-3.89791,-3.03026,0.20163
1768520788.15539,-3.99862,-2.85558,-3.83453,-3.10760,0.19855
1768520788.31189,-3.94110,-2.94007,-3.76962,-3.18367,0.23299
1768520788.77104,-3.92214,-3.00754,-3.70320,-3.25842,0.28908
1768520788.79516,-3.90080,-3.04742,-3.63529,-3.33183,0.09531
1768520788.88896,-3.76525,-3.18608,-3.56593,-3.40386,0.13726
1768520789.03519,-3.72721,-3.22989,-3.49515,-3.47449,0.08915
1768520789.09537,-3.50616,-3.47001,-3.42296,-3.54370,0.14385
1768520789.18717,-3.39452,-3.57729,-3.34941,-3.61144,0.00963
1768520789.30909,-3.41671,-3.55102,-3.27451,-3.67770,0.10692
1768520789.38634,-3.36731,-3.62459,-3.19831,-3.74246,0.16830
1768520789.49349,-3.34130,-3.65369,-3.12083,-3.80567,0.12052
1768520789.59697,-3.21148,-3.72624,-3.04209,-3.86732,0.11552
1768520789.69951,-3.13739,-3.80201,-2.96214,-3.92738,0.06101
1768520789.79535,-2.99242,-3.87442,-2.88101,-3.98584,0.10428
1768520789.88928,-2.95467,-3.91202,-2.79872,-4.04266,0.02252
1768520789.99457,-2.90315,-3.98169,-2.71532,-4.09782,0.17496
1768520790.10135,-2.87236,-4.02070,-2.63082,-4.15130,0.22278
1768520790.19120,-2.82672,-4.04521,-2.54527,-4.20309,0.04511
1768520790.29447,-2.57923,-4.17340,-2.45871,-4.25315,0.13000
1768520790.39343,-2.57555,-4.19616,-2.37116,-4.30147,0.06143
1768520790.48992,-2.40808,-4.28794,-2.28266,-4.34803,0.02004
1768520790.59275,-2.27084,-4.33184,-2.19325,-4.39281,0.11534
1768520790.70088,-2.18405,-4.40785,-2.10296,-4.43579,0.02417
1768520790.79151,-2.16938,-4.39660,-2.01183,-4.47696,0.03249
1768520790.89122,-2.04110,-4.46286,-1.91990,-4.51630,0.04436
1768520790.98975,-1.95376,-4.48764,-1.82719,-4.55379,0.10918
1768520791.09156,-1.92805,-4.51196,-1.73376,-4.58942,0.18298
1768520791.19901,-1.90183,-4.51707,-1.63963,-4.62318,0.16927
1768520791.29074,-1.79783,-4.56297,-1.54484,-4.65504,0.23489
1768520791.38772,-1.76633,-4.57683,-1.44944,-4.68501,0.01687
1768520791.48510,-1.54761,-4.67168,-1.35346,-4.71306,0.03052
1768520791.58934,-1.47931,-4.67874,-1.25693,-4.73918,0.18221
